Index,Timestamp,Water,Surrounding,Humidity,SR-04,Gas,Growth
0,11/5/2024 0:00,6.5,25.2,60,15.3,180,1.2
1,11/5/2024 1:00,6.4,24.8,62,15.1,200,1.2
2,11/5/2024 2:00,6.3,24.5,63,15,190,1.2
3,11/5/2024 3:00,6.2,24.2,64,14.9,160,1.2
4,11/5/2024 4:00,6.1,23.9,65,14.8,170,1.2
5,11/5/2024 5:00,6,23.6,66,14.7,210,1.2
6,11/5/2024 6:00,6.1,23.8,65,14.8,220,1.2
7,11/5/2024 7:00,6.2,24.2,64,14.9,230,1.2
8,11/5/2024 8:00,6.3,24.5,63,15,150,1.2
9,11/5/2024 9:00,6.4,24.8,62,15.1,240,1.2
10,11/5/2024 10:00,6.5,25.2,60,15.3,250,1.2
11,11/5/2024 11:00,6.6,25.6,58,15.5,220,1.3
12,11/5/2024 12:00,6.7,26,56,15.7,190,1.3
13,11/5/2024 13:00,6.8,26.4,54,15.9,210,1.3
14,11/5/2024 14:00,6.9,26.8,52,16.1,180,1.4
15,11/5/2024 15:00,7,27.2,50,16.3,230,1.4
16,11/5/2024 16:00,6.9,26.8,52,16.1,240,1.4
17,11/5/2024 17:00,6.8,26.4,54,15.9,250,1.3
18,11/5/2024 18:00,6.7,26,56,15.7,200,1.3
19,11/5/2024 19:00,6.6,25.6,58,15.5,170,1.3
20,11/5/2024 20:00,6.5,25.2,60,15.3,160,1.2
21,11/5/2024 21:00,6.4,24.8,62,15.1,190,1.2
22,11/5/2024 22:00,6.3,24.5,63,15,220,1.2
23,11/5/2024 23:00,6.2,24.2,64,14.9,180,1.2
24,11/6/2024 0:00,6.1,23.9,65,14.8,210,1.2
25,11/6/2024 1:00,6,23.6,66,14.7,250,1.2
26,11/6/2024 2:00,6.1,23.8,65,14.8,150,1.2
27,11/6/2024 3:00,6.2,24.2,64,14.9,160,1.2
28,11/6/2024 4:00,6.3,24.5,63,15,170,1.2
29,11/6/2024 5:00,6.4,24.8,62,15.1,180,1.2
30,11/6/2024 6:00,6.5,25.2,60,15.3,190,1.2
31,11/6/2024 7:00,6.6,25.6,58,15.5,200,1.3
32,11/6/2024 8:00,6.7,26,56,15.7,210,1.3
33,11/6/2024 9:00,6.8,26.4,54,15.9,220,1.3
34,11/6/2024 10:00,6.9,26.8,52,16.1,230,1.4
35,11/6/2024 11:00,7,27.2,50,16.3,240,1.4
36,11/6/2024 12:00,6.9,26.8,52,16.1,250,1.4
37,11/6/2024 13:00,6.8,26.4,54,15.9,220,1.3
38,11/6/2024 14:00,6.7,26,56,15.7,190,1.3
39,11/6/2024 15:00,6.6,25.6,58,15.5,160,1.3
40,11/6/2024 16:00,6.5,25.2,60,15.3,170,1.2
41,11/6/2024 17:00,6.4,24.8,62,15.1,180,1.2
,,,,,,,
