Index,Timestamp,Water,Surrounding,Humidity,SR-04,Gas,Growth
1,2024-01-01 08:00:00,518,22.5,61,0.49,411,10.0
2,2024-01-02 08:00:00,508,23.3,62,0.49,415,10.0
3,2024-01-03 08:00:00,494,23.3,62,0.47,418,10.0
4,2024-01-04 08:00:00,522,23.1,61,0.48,417,10.0
5,2024-01-05 08:00:00,487,22.5,62,0.48,414,10.0
6,2024-01-06 08:00:00,500,22.9,61,0.49,410,10.0
7,2024-01-07 08:00:00,518,23.9,60,0.47,416,10.0
8,2024-01-08 08:00:00,498,24.1,61,0.49,414,10.0
9,2024-01-09 08:00:00,502,23.7,65,0.51,415,10.0
10,2024-01-10 08:00:00,490,24.4,61,0.48,416,10.0
11,2024-01-11 08:00:00,490,23.8,62,0.5,412,10.0
12,2024-01-12 08:00:00,503,24.3,66,0.48,419,10.0
13,2024-01-13 08:00:00,515,24.2,65,0.47,412,10.0
14,2024-01-14 08:00:00,519,23.4,62,0.49,414,10.0
15,2024-01-15 08:00:00,503,22.7,59,0.49,415,10.0
16,2024-01-16 08:00:00,482,23.2,59,0.5,418,10.0
17,2024-01-17 08:00:00,501,23.8,66,0.46,414,10.0
18,2024-01-18 08:00:00,481,23.8,66,0.48,410,10.0
19,2024-01-19 08:00:00,503,23.7,65,0.48,413,10.0
20,2024-01-20 08:00:00,523,23.0,60,0.5,414,10.0
21,2024-01-21 08:00:00,509,23.6,66,0.45,419,10.0
22,2024-01-22 08:00:00,517,23.3,59,0.51,419,10.0
23,2024-01-23 08:00:00,481,24.4,61,0.48,414,10.0
24,2024-01-24 08:00:00,500,24.2,62,0.47,416,10.0
25,2024-01-25 08:00:00,512,23.9,59,0.5,413,10.0
26,2024-01-26 08:00:00,491,23.0,59,0.49,410,10.0
27,2024-01-27 08:00:00,501,23.0,60,0.51,414,10.0
28,2024-01-28 08:00:00,523,22.6,65,0.47,416,10.0
29,2024-01-29 08:00:00,504,23.9,65,0.48,419,10.0
30,2024-01-30 08:00:00,528,22.7,64,0.48,419,10.0
31,2024-01-31 08:00:00,506,23.4,60,0.51,415,10.0
32,2024-02-01 08:00:00,521,22.9,61,0.45,414,10.0
33,2024-02-02 08:00:00,507,24.3,65,0.47,413,10.0
34,2024-02-03 08:00:00,495,23.5,62,0.46,411,10.0
35,2024-02-04 08:00:00,494,23.6,66,0.47,413,10.0
36,2024-02-05 08:00:00,526,23.9,60,0.48,419,10.0
37,2024-02-06 08:00:00,530,22.8,66,0.47,419,10.0
38,2024-02-07 08:00:00,523,23.7,59,0.47,412,10.0
39,2024-02-08 08:00:00,482,23.6,62,0.5,419,10.0
40,2024-02-09 08:00:00,516,22.9,62,0.51,410,10.0
41,2024-02-10 08:00:00,530,24.4,59,0.45,417,10.0
42,2024-02-11 08:00:00,486,23.7,60,0.46,414,10.0
43,2024-02-12 08:00:00,500,23.9,59,0.49,413,10.0
44,2024-02-13 08:00:00,488,24.3,66,0.47,417,10.0
45,2024-02-14 08:00:00,518,23.7,64,0.47,416,10.0
46,2024-02-15 08:00:00,497,23.1,62,0.47,411,10.0
47,2024-02-16 08:00:00,483,22.7,63,0.47,410,10.0
48,2024-02-17 08:00:00,504,23.4,63,0.5,420,10.0
49,2024-02-18 08:00:00,493,22.9,66,0.46,413,10.0
50,2024-02-19 08:00:00,529,23.3,61,0.49,417,10.0
51,2024-02-20 08:00:00,488,24.3,65,0.48,411,10.0
52,2024-02-21 08:00:00,505,23.1,59,0.47,412,10.0
53,2024-02-22 08:00:00,481,22.7,59,0.48,410,10.0
54,2024-02-23 08:00:00,499,23.2,61,0.47,410,10.0
55,2024-02-24 08:00:00,507,24.3,61,0.49,412,10.0
56,2024-02-25 08:00:00,526,23.0,66,0.45,420,10.0
57,2024-02-26 08:00:00,486,23.8,66,0.45,414,10.0
58,2024-02-27 08:00:00,523,22.5,61,0.49,412,10.0
59,2024-02-28 08:00:00,487,23.2,62,0.46,410,10.0
60,2024-02-29 08:00:00,526,23.1,66,0.45,410,10.0
61,2024-03-01 08:00:00,514,22.8,64,0.47,417,10.0
62,2024-03-02 08:00:00,493,23.6,66,0.45,419,10.0
63,2024-03-03 08:00:00,496,23.5,59,0.5,420,10.0
64,2024-03-04 08:00:00,515,23.9,66,0.45,411,10.0
65,2024-03-05 08:00:00,529,23.0,62,0.48,412,10.0
66,2024-03-06 08:00:00,519,23.0,61,0.48,411,10.0
67,2024-03-07 08:00:00,483,22.8,59,0.49,412,10.0
68,2024-03-08 08:00:00,481,22.9,66,0.47,416,10.0
69,2024-03-09 08:00:00,485,23.6,62,0.46,410,10.0
70,2024-03-10 08:00:00,521,23.3,64,0.51,419,10.0
71,2024-03-11 08:00:00,483,22.6,66,0.5,417,10.0
72,2024-03-12 08:00:00,508,23.0,62,0.5,419,10.0
73,2024-03-13 08:00:00,497,23.0,64,0.47,419,10.0
74,2024-03-14 08:00:00,505,23.9,61,0.45,419,10.0
75,2024-03-15 08:00:00,523,23.9,66,0.47,411,10.0
76,2024-03-16 08:00:00,513,22.8,64,0.48,412,10.0
77,2024-03-17 08:00:00,489,24.5,59,0.47,418,10.0
78,2024-03-18 08:00:00,515,23.0,61,0.5,416,10.0
79,2024-03-19 08:00:00,493,24.5,59,0.47,413,10.0
80,2024-03-20 08:00:00,510,23.3,63,0.51,419,10.0
81,2024-03-21 08:00:00,527,22.6,60,0.48,414,10.0
82,2024-03-22 08:00:00,494,23.2,66,0.5,411,10.0
83,2024-03-23 08:00:00,487,23.8,64,0.46,420,10.0
84,2024-03-24 08:00:00,493,23.9,60,0.47,417,10.0
85,2024-03-25 08:00:00,502,23.6,60,0.49,413,10.0
86,2024-03-26 08:00:00,519,23.4,64,0.46,418,10.0
87,2024-03-27 08:00:00,500,23.6,61,0.46,414,10.0
88,2024-03-28 08:00:00,495,23.7,66,0.51,418,10.0
89,2024-03-29 08:00:00,524,22.7,63,0.49,413,10.0
90,2024-03-30 08:00:00,497,23.2,59,0.45,419,10.0
91,2024-03-31 08:00:00,526,23.0,62,0.47,414,10.0
92,2024-04-01 08:00:00,503,24.1,59,0.48,418,10.0
93,2024-04-02 08:00:00,505,23.4,62,0.49,417,10.0
94,2024-04-03 08:00:00,504,24.5,59,0.47,412,10.0
95,2024-04-04 08:00:00,524,23.3,64,0.46,410,10.0
96,2024-04-05 08:00:00,520,24.1,63,0.45,412,10.0
97,2024-04-06 08:00:00,508,24.1,66,0.48,413,10.0
98,2024-04-07 08:00:00,494,22.8,62,0.49,411,10.0
99,2024-04-08 08:00:00,524,23.5,66,0.45,410,10.0
100,2024-04-09 08:00:00,480,23.9,66,0.5,416,10.0
